subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
It’s almost over: up to 50% off ends soon,dunelm,,,50%,,up to,,,,
HURRY! Massive savings end at midnight,dunelm,,,,,,,,,
A long weekend? Yes please!,dunelm,,,,,,,,,
May the 4th be with you!,dunelm,,,,,,,,,
Expert tips for any garden,dunelm,,,,,,,,,
Ready for the best night's sleep ever? 😴 ﻿,dunelm,,,,,,,,,emoji
Everything you need for a lovely Jubilee,dunelm,,,,,,,,,
A fresh new look in a few minutes,dunelm,,,,,,,,,
Now trending: woven wonders,dunelm,,,,,,,,,
Sale now on! 🚨 Up to 50% off in-store and online,dunelm,,,50%,,up to,sale,,,emoji
Last-minute party prep (for under £30!),dunelm,,,,£30),,,,,
Up to 50% off beautiful bedrooms,dunelm,,,50%,,up to,,,,
We’re serving up sweet Sale buys,dunelm,,,,,,sale,,,
Free Click & Collect for even faster bargains,dunelm,,,,,,,,,
Up to 30% off furniture: take a load off,dunelm,,,30%,,up to,,,,
Breaking news! Our biggest Summer Sale just got bigger,dunelm,,Summer,,,,sale,,,
Up to £100 off garden furniture,dunelm,,,,£100,up to,,,,
Furniture finds with up to 30% off,dunelm,,,30%,,up to,,,,
Keep cool and carry on… ﻿,dunelm,,,,,,,,,
Don’t miss this! Up to 50% off brilliant bedding,dunelm,,,50%,,up to,,,,
Final flourishes for up to 50% off,dunelm,,,50%,,up to,,,,
Ending soon: Our Biggest Ever Summer Sale,dunelm,,Summer,,,,sale,,,
Bright ideas from the sale,dunelm,,,,,,sale,,,
Sale Special Buys: while stocks last,dunelm,,,,,,sale,,,
5 ways to cool off 🧊﻿,dunelm,,,,,,,,,emoji
Time’s running out…,dunelm,,,,,,,,,
Our Biggest Ever Summer Sale ends TONIGHT,dunelm,,Summer,,,,sale,,,
Sizzling Savings: Up to ½ price﻿,dunelm,,,,,up to,,,,
"Introducing Value, Dun Your Way﻿",dunelm,,,,,,,,,
Say hello to our NEW summer bedding,dunelm,,Summer,,,,,,,
These brilliant buys won’t stick around…,dunelm,,,,,,,,,
👋 Hello new!,dunelm,,,,,,,,,emoji
Even more Sizzling Savings,dunelm,,,,,,,,,
Did somebody say summer holidays?,dunelm,,Summer,,,,,,,
"Shop effortlessly for great deals now in the WOW Weekend, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Missed Black Friday? Shop CYBER MONDAY – Up to 60% off RRP, [CUSTOMER_NAME]",ebay,Black Friday,,60%,,up to,,,[CUSTOMER_NAME],
"Outclass Father Christmas – great gifts for all, [CUSTOMER_NAME].",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
Your last chance to collect 200 Nectar points,ebay,,,,,,,,,
The WOW Weekend starts tomorrow. Your Preview starts NOW!,ebay,,,,,,,,,
"Deck the halls, trim the tree, and get the party started, [CUSTOMER_NAME].",ebay,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], get 200 extra Nectar points just in time for Christmas",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Great deals just for you, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"The new iPads + Top 40 Tech – all you need for Christmas, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Get inspired, [CUSTOMER_NAME], plus Christmas Shop now open.",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
Don’t lose out on a £30 gift from eBay [CUSTOMER_NAME],ebay,,,,£30,,,,[CUSTOMER_NAME],
Grab a Great Deal today [CUSTOMER_NAME],ebay,,,,,,,,[CUSTOMER_NAME],
"Whatever inspires you, [CUSTOMER_NAME] – find it on eBay.",ebay,,,,,,,,[CUSTOMER_NAME],
Great deals to make you smile [CUSTOMER_NAME],ebay,,,,,,,,[CUSTOMER_NAME],
Trick or treat? You decide [CUSTOMER_NAME].,ebay,,,,,,,,[CUSTOMER_NAME],
"Great deals to brighten your day, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Refresh your home for less this Autumn, [CUSTOMER_NAME]",ebay,,Autumn,,,,,,[CUSTOMER_NAME],
"New month, new deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Treat yourself, your deals have arrived [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
Welcome Autumn in style – see what’s new in Home and Fashion,ebay,,Autumn,,,,,,,
Want a £25 voucher? Just sell your smartphone on eBay,ebay,,,,£25,,,,,
"It’s weekly deals time, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
Sneak peek [CUSTOMER_NAME]! Up to 60% off RRP on great deals,ebay,,,60%,,up to,,,[CUSTOMER_NAME],
Your brand new deals have arrived [CUSTOMER_NAME],ebay,,,,,,,,[CUSTOMER_NAME],
"Kit out your home office - laptops from £250, [CUSTOMER_NAME]",ebay,,,,"£250,",,,,[CUSTOMER_NAME],
"Our summer shop’s got the lot, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], updates to the eBay User Agreement",ebay,,,,,,,,[CUSTOMER_NAME],
"Garden party - be inspired by our guide to summer soirees, plus home cinema fun [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"We’re top of the class for great deals, shop yours today [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Call of the wild – your summer camping adventure starts here, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Get 10% off Fashion, [CUSTOMER_NAME] – your exclusive coupon!",ebay,,,10%,,,,,[CUSTOMER_NAME],
Summer. Savings. SIXTY % OFF!,ebay,,Summer,%,,,,,,
"WOW – up to 60% off tech, home, fashion and more!",ebay,,,60%,,up to,,,,
"Let's get to the points, [CUSTOMER_NAME]!",ebay,,,,,,,,[CUSTOMER_NAME],
"Whatever you do, don’t miss these deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Summer sun, summer fun – find your holiday essentials on eBay, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Collect 100 bonus Nectar points, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Treats for pay day week, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Summer scorchers – home, fashion and beauty inspiration, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Big brands, bigger savings – up to 60% off, [CUSTOMER_NAME]",ebay,,,60%,,up to,,,[CUSTOMER_NAME],
"Up to 60% off toys to tech, fashion to furniture, [CUSTOMER_NAME]",ebay,,,60%,,up to,,,[CUSTOMER_NAME],
"Wow! Up to 60% off in your weekly deals, [CUSTOMER_NAME]",ebay,,,60%,,up to,,,[CUSTOMER_NAME],
"Get the ball rolling for a great summer of sport, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"100 bonus Nectar points to get you started, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
Collect 100 Nectar points when you link your eBay & Nectar accounts,ebay,,,,,,,,,
"All new weekly deals – back to school special, [CUSTOMER_NAME]",ebay,Back to school,,,,,,,[CUSTOMER_NAME],
"Shop the UK’s lowest prices on tech with free UK delivery, [CUSTOMER_NAME].",ebay,,,,,,,,[CUSTOMER_NAME],
"Up to 50% off great deals this week, plus back to school essentials, [CUSTOMER_NAME]",ebay,Back to school,,50%,,up to,,,[CUSTOMER_NAME],
"Up to 50% off great deals this Summer, [CUSTOMER_NAME]",ebay,,Summer,50%,,up to,,,[CUSTOMER_NAME],
"Win an Apple iPad Mini [CUSTOMER_NAME], plus shop beachwear, BBQs and our digital camera buying guide.",ebay,,,,,,,,[CUSTOMER_NAME],
"Up to 50% off great new weekly deals, [CUSTOMER_NAME]",ebay,,,50%,,up to,,,[CUSTOMER_NAME],
Sale - up to 60% off plus great weekly deals for you; [CUSTOMER_NAME],ebay,,,60%,,up to,sale,,[CUSTOMER_NAME],
"Nectar bonus points for you, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Our top weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Hello sunshine: shirts, polo tops, and tees to get you through the sunny days and balmy nights, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Brand-new weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Buy one get one free from top sellers this weekend, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"eBay’s great weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Never sold on eBay, [CUSTOMER_NAME]? Get three free listings this bank holiday weekend",ebay,Bank Holiday,,,,,,,[CUSTOMER_NAME],
"eBay’s top weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Bank holiday bonanza starts now – save up to half price, [CUSTOMER_NAME]",ebay,Bank Holiday,,,,up to,,,[CUSTOMER_NAME],
"Get your BBQ essentials, [CUSTOMER_NAME], plus sports gear to kick-off the summer season.",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Shop our weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"The festival guide – shop camping and summer fashion essentials, plus the Samsung Galaxy S4 available on eBay, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Shop this week’s deals and save, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Save up to half price in our Bank Holiday Bonanza, [CUSTOMER_NAME]!",ebay,Bank Holiday,,,,up to,,,[CUSTOMER_NAME],
"More great weekly deals from eBay, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Save up to 75% off House of Fraser on eBay, plus great deals on the latest gadgets and media to keep connected on the move.",ebay,,,75%,,up to,,,,
"Get great deals now, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Your Nectar bonus points offer, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Get up to 70% off in our Spectacular Weekend, [CUSTOMER_NAME] – ends tonight!",ebay,,,70%,,up to,,,[CUSTOMER_NAME],
"Up to 70% off fashion, electronics and more, in our Spectacular Weekend [CUSTOMER_NAME]",ebay,,,70%,,up to,,,[CUSTOMER_NAME],
"Up to 70% off in our eBay Spectacular Weekend, [CUSTOMER_NAME]. Unbelievable deals!",ebay,,,70%,,up to,,,[CUSTOMER_NAME],
"Even more great savings on eBay, [CUSTOMER_NAME] – new weekly deals",ebay,,,,,,,,[CUSTOMER_NAME],
"Get this week’s great deals on eBay, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Put a spring in your step with great deals from Argos, plus all-weather technology, car care and fashion inspiration.",ebay,,Spring,,,,,,,
"Shop Easter mega deals from Argos on eBay, [CUSTOMER_NAME]",ebay,Easter,,,,,,,[CUSTOMER_NAME],
"Save now with our weekly deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"New season, new shopping with the free eBay app, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Shop now for great savings, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
Get set for spring: refresh your home for less with up to 60% off home décor,ebay,,Spring,60%,,up to,,,,
"Shop this week’s deals – and save, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"This week’s deals are here, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Discover more great deals this week, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Buy on your smartphone and you could win £1,000, [CUSTOMER_NAME]",ebay,,,,"£1,000,",,,,[CUSTOMER_NAME],
"Valentine’s Day deals for you, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], collect Nectar bonus points on eBay",ebay,,,,,,,,[CUSTOMER_NAME],
"Grab a great deal in this week's deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Don't miss this week's brand new deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Final sale savings of up to 60% off NOW, [CUSTOMER_NAME]",ebay,,,60%,,up to,sale,,[CUSTOMER_NAME],
"Your weekly deals – including new lines added to our sale, [CUSTOMER_NAME]",ebay,,,,,,sale,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], the eBay sale is now on – enjoy up to 60% off",ebay,,,60%,,up to,sale,,[CUSTOMER_NAME],
"Check out great sale prices in this week’s deals, [CUSTOMER_NAME]",ebay,,,,,,sale,,[CUSTOMER_NAME],
"Start 2013 with amazing deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Happy New Year: festive deals from eBay, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Sale prices from top sellers - more lines added, [CUSTOMER_NAME]",ebay,,,,,,sale,,[CUSTOMER_NAME],
"Celebrate Christmas with these great deals, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"We wish you a merry Christmas with this week’s deals, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Fantastic weekly deals for Christmas gifts and more, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Your weekly deals – amazing savings just in time for Christmas, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Sale prices from top sellers – up to 50% off, [CUSTOMER_NAME]",ebay,,,50%,,up to,sale,,[CUSTOMER_NAME],
"[CUSTOMER_NAME] Maclean, recommended just for you",ebay,,,,,,,,[CUSTOMER_NAME],
"Save up to 50% on great gifts, [CUSTOMER_NAME]: don’t miss this week’s deals",ebay,,,50%,,up to,,,[CUSTOMER_NAME],
"Weekly deals – find all you need for Christmas, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Starts at 8am: Sunday Spectacular with up to 75% off great deals, [CUSTOMER_NAME]",ebay,,,75%,,up to,,,[CUSTOMER_NAME],
"Weekly deals in time for Christmas, [CUSTOMER_NAME]",ebay,Christmas,,,,,,,[CUSTOMER_NAME],
"Starts at 8am today - up to 75% off Christmas deals with eBay Sunday Spectacular, [CUSTOMER_NAME]",ebay,Christmas,,75%,,up to,,,[CUSTOMER_NAME],
"Big savings with this week’s deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Christmas gifts up to 50% off, [CUSTOMER_NAME], plus: up to 75% off House of Fraser - Fashion and Home",ebay,Christmas,,50%,,up to,,,[CUSTOMER_NAME],
"Christmas shopping made easy: great gifts, great prices, free delivery, [CUSTOMER_NAME]!",ebay,Christmas,,,,,,free delivery,[CUSTOMER_NAME],
"Christmas gifts up to 50% off - plus free shipping and Nectar points, [CUSTOMER_NAME]",ebay,Christmas,,50%,,up to,,,[CUSTOMER_NAME],
"Great news, [CUSTOMER_NAME]! Nectar points now available on eBay",ebay,,,,,,,,[CUSTOMER_NAME],
"Get free delivery and triple Nectar points, plus great deals with up to 50% off, [CUSTOMER_NAME]",ebay,,,50%,,up to,,free delivery,[CUSTOMER_NAME],
"Huge deals, huge savings with up to 50% off + free delivery [CUSTOMER_NAME]!",ebay,,,50%,,up to,,free delivery,[CUSTOMER_NAME],
"Great news [CUSTOMER_NAME], Nectar points now available on eBay!",ebay,,,,,,,,[CUSTOMER_NAME],
"Great deals for autumn and winter: up to 50% off, plus free P&P, [CUSTOMER_NAME]",ebay,,Autumn,50%,,up to,,,[CUSTOMER_NAME],
"Autumn deals at up to 50% off - with free delivery, [CUSTOMER_NAME]!",ebay,,Autumn,50%,,up to,,free delivery,[CUSTOMER_NAME],
"Up to 50% off university essentials – free P&P included, [CUSTOMER_NAME]!",ebay,,,50%,,up to,,,[CUSTOMER_NAME],
"Up to 50% off university essentials – plus free shipping, [CUSTOMER_NAME]!",ebay,,,50%,,up to,,,[CUSTOMER_NAME],
"Up to 50% off with our back to university deals, [CUSTOMER_NAME]",ebay,,,50%,,up to,,,[CUSTOMER_NAME],
"Learn for less, [CUSTOMER_NAME]! Shop our weekly deals!",ebay,,,,,,,,[CUSTOMER_NAME],
"Irresistible: this week’s deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Get ready for this week’s deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Don’t miss our latest deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Great deals in time for the start of school, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Act fast to get these great deals, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Now on: eBay’s Summer of Sports deals event, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Want that stadium feeling, [CUSTOMER_NAME]? Check out this week’s home electronics deals",ebay,,,,,,,,[CUSTOMER_NAME],
"Your weekly deals: sports gear and more at great prices, [CUSTOMER_NAME]!",ebay,,,,,,,,[CUSTOMER_NAME],
"Fantastic deals to cheer about, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Your new weekly deals: everything you need for the summer of sports, [CUSTOMER_NAME]!",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Summer deals for champions, [CUSTOMER_NAME] - don't miss out!",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Don’t miss out: Up to 75% off in the House of Fraser Summer Clearance, [CUSTOMER_NAME]",ebay,,Summer,75%,,up to,,,[CUSTOMER_NAME],
"Summer Savings on eBay: now on, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Match of the day - new football deals for you and much more, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Don't miss out: deals on everything football and more, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Kick off your summer of football with this week's deals, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"Everything you need for a summer of football madness, [CUSTOMER_NAME]",ebay,,Summer,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], start celebrating - your weekly deals are here!",ebay,,,,,,,,[CUSTOMER_NAME],
"Your weekly deals: portable electronics and more, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], unwrap this week's top deals",ebay,,,,,,,,[CUSTOMER_NAME],
"Surprises just in time for Easter, [CUSTOMER_NAME]",ebay,Easter,,,,,,,[CUSTOMER_NAME],
"Shop with ease on the go, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"eBay: discover something new today, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"10%* special discount for you: get ready for spring, [CUSTOMER_NAME]",ebay,,Spring,10%*,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], find your deal of the week",ebay,,,,,,,,[CUSTOMER_NAME],
"Find something for those you love, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], click to find your deal of the week",ebay,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], only this weekend: zero insertion fees for sellers",ebay,,,,,,,,[CUSTOMER_NAME],
"Discounts end soon, shop today [CUSTOMER_NAME]!",ebay,,,,,,,,[CUSTOMER_NAME],
"Open for fantastic savings, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"Great deals on a selection of gifts, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
"This week's best deals on gifts are here, [CUSTOMER_NAME]",ebay,,,,,,,,[CUSTOMER_NAME],
⏰ 1 hour only – 25x points on eBay,ebay,,,,,,,,,emoji
Get summer ready with eBay ☀️,ebay,,Summer,,,,,,,emoji
We're updating our Terms & Conditions,emp,,,,,,,,,
Exclusive new arrivals for all music and entertainment fans!,emp,,,,,,,,,
"New gothic looks for 2018. Coats, boots, jackets and more!",emp,,,,,,,,,
Stock up on winter essentials at low prices in our Winter Sale!,emp,,Winter,,,,sale,,,
We've got a New Year's surprise for you...,emp,,,,,,,,,
Last few hours: Don't miss an additional 10% off sale items!,emp,,,10%,,,sale,,,
It's Christmas Eve! Get Festive with our Xmas playlist 🎵🎶,emp,Christmas,,,,,,,,emoji
Day 19: A new deal every hour! Xmas Deals at EMP.,emp,,,,,,,,,
Don’t miss it: 15% off EVERYTHING* with code XMAS15,emp,,,15%,,,,,,
Day 17: Get 15% off everything! | EMP Advent Calendar,emp,,,15%,,,,,,
Day 16: Get £10 off when you spend £50! | EMP Advent Calendar,emp,,,,£10,,,,,
Last few hours: 20% off everything and free delivery,emp,,,20%,,,,free delivery,,
Day 11: Last day for 20% off and FREE delivery | EMP Advent Calendar,emp,,,20%,,,,free delivery,,
Don't forget: Shop now for 20% off everything AND free delivery!,emp,,,20%,,,,free delivery,,
Day 9: 30% off band and fan merch! | EMP Advent Calendar,emp,,,30%,,,,,,
"Don't forget: Spend more, save more today with up to 30% off!",emp,,,30%,,up to,,,,
"Day 8: Choose your discount - spend more, save more! | EMP Advent Calendar",emp,,,,,,,,,
Don't forget your £10 discount in today's Advent Calendar!,emp,,,,£10,,,,,
Day 6: Choose your Santa and get 15% off | EMP Advent Calendar,emp,,,15%,,,,,,
Day 5: Constantly-changing xmas deals all day! | EMP Advent Calendar,emp,,,,,,,,,
Day 4: Last chance for 30% off and FREE delivery! | EMP Advent Calendar,emp,,,30%,,,,free delivery,,
Don't forget to redeem your 15% discount code!,emp,,,15%,,,,,,
Last chance to get 25% off Xmas and Winter items | EMP Advent Calendar,emp,,Winter,25%,,,,,,
Day 2: Enjoy 25% off xmas and winter items! | EMP Advent Calendar,emp,,Winter,25%,,,,,,
Day 1: Get 25% off Xmas and Winter clothing | EMP Advent Calendar,emp,,Winter,25%,,,,,,
Last call for Black Week deals - Ends tonight!,emp,,,,,,,,,
For you: 15% off with the code WMAG17!,emp,,,15%,,,,,,
It's not over yet! New Black Tuesday bargains all day today - keep checking back!,emp,,,,,,,,,
Last few hours: Shop now to get 15% off!,emp,,,15%,,,,,,
Black Sunday: Get 15% off EVERYTHING!,emp,,,15%,,,,,,
Black week continues with constantly changing offers all day today!,emp,,,,,,,,,
Don't miss the rest of today's Black Friday deals + FREE delivery on ALL orders!,emp,Black Friday,,,,,,free delivery,,
Black week starts here! Check out our Black Friday pre-sale!,emp,Black Friday,,,,,sale,,,
Get 15% off melodic death metal merch!,emp,,,15%,,,,,,
Get up to 50% off in our autumn sale!,emp,,Autumn,50%,,up to,sale,,,
"Listen up, maggots! Pre-order your copy of 'Day of the Gusano' on DVD or Blu-ray now!",emp,,,,,,,,,
"Check out our awesome discounts! The more you spend, the more you save!",emp,,,,,,,,,
Today and tomorrow only: Treat yourself with 15% off!,emp,,,15%,,,,,,
Don't forget to use your 15% discount code!,emp,,,15%,,,,,,
Last day: Kickstart autumn with free delivery!,emp,,Autumn,,,,,free delivery,,
Today and tomorrow only: Order with free delivery!,emp,,,,,,,free delivery,,
